Name,Address,MOB.No,Alternate Mob,City,email,pincode,State,Branch type
HHI MARKETING PVT LTD,"B-31,129/247, ST. NO. 7, GURU ARJAN DEV NAGAR, NEAR SAMRALA CHOWK, LUDHIANA-141008 GST NO.: 03AADCH7949H1ZG FSSAI NO.:12117441000336",7508808200,,LUDHIANA,,141008,PUNJAB,WAREHOUSE
ASHWATH D P,"ASHWATH D P C/O AT - # 282/4 1st MAIN BYATARAYNAPURA , OPP : BAPUJINAGAR BUS STOP , MYSORE ROAD , BANGALORE , KARNATAKA",7760606444,,BANGALORE,,560026,KARNATAKA,DISTRICT
USHA HHI HERBAL CENTER,ABHISHEK TATIYA S/O PRADEEP TATIYA SADAR BAZARBHATAPARA DISTT.BALODABAZAR CHHATISGARH,9926941110,,BALODABAZAR,,493118,CHATTISGARH,DISTRICT
ANKUR UNLIMITED STORE,MANOJ KUMAR S/O BHAGWATI PRASAD RANIPURWA JANKI NAGAR GONDA ======= GST NO -----(09BSFPK7904R1ZY ),9415666925,,GONDA,,271003,UTTAR PRADESH,DISTRICT
BLOCK AKHILESH ENTERPRISES,RAM KISHORE GUPTA S/O SHYAM LAL GUPTA RAILWAY CROSSING CIVIL LINES BUDAUN =====GST NO. 09AJCPG9147M1ZR,7599461482,,BADAUN,,243601,UTTAR PRADESH,DISTRICT
M/S VASHU TELE COMMUNICATION,"MANOJ JAIN S/O ,INDERSAIN JAIN, H NO 59, UTTAR BAZAR, DEVI GANJ,AMINAGAR SARAI--- GST NO ----09AETPJ3934P1ZL",8958479535,,MEERUT,,250606,UTTAR PRADESH,DISTRICT
SHRI LAXMI ENTERPRISES,"KUMAR GAURAV C/O GROUND FLOOR, Shop No- G-1/1, SAI PLAZA, SARDHANA ROAD, Kanker khera, Meerut, Uttar Pradesh GST NO ==== 09DSJPK9819R1ZI",9319258333,,MEERUT,,250001,UTTAR PRADESH,DISTRICT
BIHAR AYURVED ENTERPRISES,"SYED MANSOOR ALAM , SHER GHATI GAYA",8271535895,,GAYA,,824211,BIHAR,DISTRICT
KUNAL HHI FRANCHISE (SF),"KANHAIYA LAL C/O AT - PROFACER COLONY WARD NO. 6, MADHEPURA DISTT. MADHEPURA",7903023180,,MADHEPURA,,852113,BIHAR,DISTRICT
RISHI HEALTH POINT,RISHI PAL SINGH S/O KANAK SINGH MEERUT,8077074792,,MEERUT,,250001,UTTAR PRADESH,DISTRICT
MIRANI ENTERPRISES,"SAFDAR MIRANI C/O NOOR COMPOUND, P.S. CIVIL LINE, GAYA",9472567303,,GAYA,,824211,BIHAR,DISTRICT
S/F SHANTI ENTERPRISES,"SHOBHA DEVI C/O AZAD NAGAR, BALUATAL, MOTIHARI==GST NO===10BZSPD5840F1ZL",9801673314,,MOTIHARI,,845401,BIHAR,WAREHOUSE
SHRI ARIHANT TRADERS,"SONAM JAIN S/O NEAR HOTEL ORANGE LILY, VIJAY NAGAR INDOR === GST NO === 23AXLPJ1917D1ZU",7000089807,,INDORE,,473001,MADHYA PRADESH,WAREHOUSE
GITA HERBAL CENTER,"PURSHOTAM DAS C/O VILL.+PO- JORGAMA, VIA- MURLIGANJ, DISTT. MADHEPURA==GST NO==10CDXPD5575R1ZR",7545840339,,MADHEPURA,,852122,BIHAR,DISTRICT
SONY GROUP OF CREATION(CF),RAMESH KUMAR SONI C/O VIMAL GUPTA EWS-196 BHARHUT NAGAR NEAR ANUPAMA SCHOOL BEHIND CHRIST JYOTI SCHOOL SATNA MP,7987229853,,SATNA,,485001,MADHYA PRADESH,DISTRICT
RABI ENTERPRISES,"GOVINDA GHOSH C/O ENGLISH BAZAR, JALKAL BUILDING MALDA",7407969126,,MALDA,,732121,WEST BENGAL,DISTRICT
BALWINDER KAUR,"BALWINDER KAUR W/O OMKAR SINGH, B-12 ,HOUSE NO 50 PREMGARH HOSHIARPUR",6280106967,,HOSHIARPUR,,146001,PUNJAB,DISTRICT
ANSH HERBAL POINT,"TEJENDRA SINGH C/O SALMABAD, DISTT. BIJNOR",9639005100,,BIJNORE-I,,246701,UTTAR PRADESH,DISTRICT
SHALU SF,SHALU C/O CITY HEART MOBILE SHOP OPP GOYAL HOSPITAL NEAR OLD BUS STAND SBI ROAD KAITHAL===GST NO===06BQZPS1328F1ZF,8950565292,,KAITHAL,,136027,HARYANA,DISTRICT
SANJIVANI DISTRIBUTORS SF,"KIRAN BHARTI C/O LATE BALASAHEB THAKARE NAGAR JINTUR ROAD, PARBHANI===GST NO=== 27AAYAS9853J1ZA",9823071444,,HINGOLI,,431401,MAHARASHTRA,DISTRICT
JASPREET ENTERPRISES C/F,JASPREET KAUR W/O KULDEEP SINGH RAILWAY ROAD ADDA MEHATPUR NEAR HEY DAY NAKODAR DISSTT JALANDHAR,7837021980,,NAKODAR,,783575,PUNJAB,DISTRICT
S/F DOLOI HHI CENTER,"RIDEEP DOLOI C/O MILAN NAGAR (VIP AIRPOT), LANDMARK - NEAR ECOM TOWER/OPP. ST CLARET SCHOOL, BORJHAR, GUWAHATI ===== GST NO===== 18BEEPD1177A1Z2",8638976772,,GUWAHATI,,781015,ASSAM,DISTRICT
AYAN ENTERPRISES,"SANJAY KHAN C/OH. NO. 19, CUSTUM COLONY, NEAR DANISH KUNJ KOLAR, BHOPAL",9713252555,,BHOPAL,,524178,MADHYA PRADESH,DISTRICT
SATYA HERBAL CENTER SF,"SATYAKAM SAHU ,RAJ KISHORE NAGAR NEAR DWONE TOWNE HOTEL ,BILASPUR === GST NO ===22CFTPS1285P1ZK",7999740859,,AMBIKAPUR,,495006,CHATTISGARH,WAREHOUSE
GANPATI ENTERPRISES,"DIPIKA DEVI C/O VILL + PO + PS GHORASAHAN, NEAR PURANA PETROL PUMP, NAGDAHA PURALIA , DISTT. EAST CHAMPARAN BIHAR",9973354072,,CHAMPAI-I,,845303,BIHAR,DISTRICT
SAI ENTERPRISES,"RAJEEV TANEJA & TRIPTA BAREJA C/O SHOP NO. C6, KHANNA COLONY, SONIPAT===GST NO===06ADUFS5635G1ZL FSSAI . NO = 10822020000053",9255953097,,SONIPAT,,131001,HARYANA,WAREHOUSE
S/F YOGESH ENTERPRISES,"YOGESH KUMAR C/O BACK OF BARODA WALI GALI,GADARPUR GST NO 05BBWPK1125J1ZJ",9927024096,,UDHAM SINGH NAGAR,,263152,UTTARAKHAND,WAREHOUSE
